train_team,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0,0.0112,0.01172,8e-05,4e-05,8e-05,0.0,0.010839999999999999,0.0064,0.01172,0.0,8e-05,4e-05,4e-05,0.00852,0.00872,0.0086,0.03684,8e-05,0.00012000000000000002,8e-05,4e-05,0.00392,0.003,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MinAtar/Asterix-v0+MinAtar/Breakout-v0,0.007639999999999999,0.00844,0.00047999999999999996,0.0008399999999999999,0.0008400000000000001,0.00023999999999999998,0.006,0.0054800000000000005,0.010199999999999999,0.00064,0.0005600000000000001,0.00104,0.0004,0.00524,0.0054399999999999995,0.009080000000000001,0.0264,0.0008400000000000001,0.0006000000000000001,0.00052,0.0008,0.00408,0.006840000000000001,0.01592,0.00043999999999999996,0.00048000000000000007,0.00076,0.0006399999999999999,0.00064,0.00476,0.01188
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,0.00504,0.01032,0.0,0.0,4e-05,4e-05,0.0006399999999999999,0.00236,0.010879999999999999,0.0,0.0,0.00023999999999999998,4e-05,0.00044,0.00244,0.00712,0.04364,0.0,0.0,0.00023999999999999998,0.0,0.0008,0.0033599999999999997,0.02028,0.0,0.0,0.0,0.00011999999999999999,0.0,0.0026,0.00612
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,0.00476,0.00988,0.00047999999999999996,0.00092,0.00088,0.00108,0.00092,0.0012000000000000001,0.015360000000000002,0.00011999999999999999,0.00104,0.00112,0.0013599999999999999,0.00048000000000000007,0.00044,0.01604,0.034999999999999996,0.00032,0.0006799999999999999,0.0016399999999999997,0.0007199999999999999,0.0008,0.0006799999999999999,0.0546,0.00032,0.0006799999999999999,0.00032,0.00148,0.0,0.0,0.06664
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,0.00556,0.009519999999999999,0.00064,0.0006799999999999999,0.00092,0.0019200000000000003,0.0009599999999999999,0.001,0.00728,0.00272,0.0018000000000000002,0.00304,0.00112,0.0007599999999999999,0.00048000000000000007,0.00404,0.03504,0.0020399999999999997,0.00052,0.00116,0.0009600000000000001,0.00056,0.00052,0.014600000000000002,0.00144,8e-05,0.00276,0.0026400000000000004,0.0,0.0,0.0
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,0.00456,0.00872,0.0,0.0,0.0,0.0,0.00156,0.003,0.01764,4e-05,0.00011999999999999999,0.00028,0.0,0.0012000000000000001,0.00368,0.01688,0.03504,4e-05,0.0,0.00023999999999999998,0.0,0.00172,0.00408,0.054759999999999996,0.0,0.00011999999999999999,0.00035999999999999997,0.00023999999999999998,0.00056,0.00404,0.06664
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,0.00732,0.01032,4e-05,4e-05,0.0,0.00011999999999999999,0.0013999999999999998,0.0024400000000000003,0.018,8e-05,0.0,0.00031999999999999997,0.00012000000000000002,0.00092,0.00132,0.016239999999999997,0.04428,8e-05,4e-05,0.00032,4e-05,0.00064,0.0007199999999999999,0.04552,0.0,8e-05,8e-05,0.00047999999999999996,4e-05,0.00124,0.053000000000000005
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,0.006320000000000001,0.0106,0.00016,8e-05,8e-05,0.0002,0.00048000000000000007,0.0018000000000000002,0.023,0.0,0.00035999999999999997,0.00092,0.00016,0.00028,0.00036,0.021840000000000002,0.0364,4e-05,8e-05,0.0014399999999999999,0.00024000000000000003,0.0,0.00052,0.0518,4e-05,0.0,4e-05,0.00068,0.0,0.0,0.06368
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,0.00824,0.00992,8e-05,0.0,4e-05,0.0002,0.009,0.01492,0.0232,0.00016,0.0,0.00344,8e-05,0.00912,0.0184,0.0204,0.0226,8e-05,0.00012000000000000002,0.0033599999999999997,0.0,0.00616,0.029959999999999997,0.03468,0.00012000000000000002,0.00012000000000000002,0.0016800000000000003,0.00224,0.0002,0.029599999999999998,0.03572
MinAtar/Asterix-v0+MinAtar/Freeway-v0,0.00512,0.006,0.00156,0.0008399999999999999,0.00172,0.00104,0.00128,0.0011200000000000001,0.00484,0.0019199999999999998,0.00156,0.0006799999999999999,0.00252,0.0018800000000000002,0.0008399999999999999,0.00368,0.00864,0.0006000000000000001,0.0007199999999999999,0.00132,0.00044,0.00116,0.00108,0.0037600000000000003,0.00116,0.0007199999999999999,0.00156,0.00256,8e-05,0.00028,0.0
