train_team,MiniGrid-MultiRoom-N2-S4-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N4-S5-v0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,MiniGrid-MultiRoom-N6-v0
MiniGrid-MultiRoom-N2-S4-v0,0.8297500000000001,0.42791667666666666,0.16437499533333333,0.2520000066666666,0.09845833,0.0655,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0.8289999866666667,0.7836250266666666,0.4820833,0.28541666666666665,0.7401249833333333,0.27662498666666663,0.19908333666666667
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0.08491666666666665,0.011583333333333334,0.03891666666666667,0.03366666533333333,0.023541666666666666,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0.016083332333333335,0.0,0.0,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0+MiniGrid-MultiRoom-N4-S5-v0,0.027333333333333334,0.02358333333333333,0.0,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N2-S4-v0,0.4919166566666666,0.16883333666666667,0.0745,0.15350000333333333,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,0.0,0.0,0.015333333333333332,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0+MiniGrid-MultiRoom-N2-S4-v0,0.017916666666666668,0.0,0.005583333333333333,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0+MiniGrid-MultiRoom-N2-S4-v0,0.14666666666666667,0.0,0.030666663333333333,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0+MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0.02316666666666667,0.0,0.026583333333333334,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0+MiniGrid-MultiRoom-N4-S5-v0,0.052,0.0,0.0,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N2-S4-v0,0.27108333333333334,0.14825000666666666,0.059166666666666666,0.1445,0.04904166666666667,0.0,0.0
