train_team,train_seed,eval_team,eval_seed,r_0,r_0_std,r_1,r_1_std
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.83575,0.042750005
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.14937499,0.29876056
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.618875,0.31508902
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.25275,0.38647518
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.15725,0.3145
MiniGrid-MultiRoom-N2-S4-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.23924999,0.36711892
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N6-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.0,0.0
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0,1234,0.04375,0.13125001,0.82449996,0.0549295
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0,1234,0.0,0.0,0.73675,0.027648473
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.19275,0.29580915
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,1234,0.037,0.111,0.764875,0.07333241
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.23025,0.35462737
MiniGrid-MultiRoom-N2-S4-v0+MiniGrid-MultiRoom-N4-S5-v0,0,MiniGrid-MultiRoom-N4-S5-v0+MiniGrid-MultiRoom-N6-v0,1234,0.0,0.0,0.23025,0.35251543
