train_team,MinAtar/Asterix-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,MinAtar/Seaquest-v0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,MinAtar/SpaceInvaders-v0
MinAtar/Asterix-v0,2.72,0.9,0.45999999999999996,0.36,0.32,0.34,0.34,0.28,0.27999999999999997,0.66,0.12,0.26,0.13999999999999999,0.62,0.1,0.62,0.5,0.27999999999999997,0.16,0.04,0.1,0.22000000000000003,0.06000000000000001,0.22000000000000003,0.08,0.04,0.0,0.04,0.0,0.0,0.0
MinAtar/Asterix-v0+MinAtar/Breakout-v0,1.8,0.64,0.45999999999999996,0.6799999999999999,0.76,0.82,0.22000000000000003,0.24000000000000005,0.38,1.0,0.62,0.36,0.9400000000000001,0.42000000000000004,0.26,0.8,0.31999999999999995,1.0399999999999998,0.7,0.31999999999999995,0.9199999999999999,0.13999999999999999,0.27999999999999997,0.52,1.0,0.4,0.38,0.72,0.02,0.44000000000000006,0.48
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,0.72,0.64,0.44000000000000006,0.14,0.26,0.26,0.36,0.28,0.6799999999999999,0.27999999999999997,0.18,0.22000000000000003,0.45999999999999996,0.27999999999999997,0.4,0.72,0.5,0.24,0.12000000000000002,0.13999999999999999,0.38,0.22000000000000003,0.32,0.64,0.02,0.04,0.26,0.4800000000000001,0.0,0.42000000000000004,0.62
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,0.8400000000000001,0.44000000000000006,0.74,0.62,0.27999999999999997,1.44,0.36,0.32,0.74,0.9400000000000001,0.7,0.44000000000000006,1.26,0.14,0.6,0.9800000000000001,0.41999999999999993,1.48,0.9400000000000001,0.5599999999999999,1.4,0.2,0.5599999999999999,1.04,0.9199999999999999,0.38,0.5,1.22,0.0,0.8400000000000001,1.2
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,0.48,0.5,1.4600000000000002,1.52,0.86,1.52,0.36,0.16,0.36,2.08,1.7,0.8,1.8,0.18,0.15999999999999998,0.18,0.4,1.6800000000000002,1.64,0.38,1.44,0.15999999999999998,0.06000000000000001,0.15999999999999998,2.4,0.52,0.06000000000000001,0.52,0.0,0.0,0.0
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,0.72,0.62,0.36,0.12000000000000002,0.3,0.33999999999999997,0.34,0.44000000000000006,0.82,0.31999999999999995,0.22000000000000003,0.32,0.62,0.42000000000000004,0.7,1.16,0.4,0.15999999999999998,0.14,0.4,0.56,0.24,0.6799999999999999,1.0,0.0,0.16,0.5800000000000001,0.82,0.24,0.8400000000000001,1.2
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,1.28,0.64,0.66,0.3,0.54,0.5800000000000001,0.5599999999999999,0.54,1.2,0.36,0.42000000000000004,0.45999999999999996,1.1400000000000001,0.34,1.0,1.34,0.5,0.22000000000000003,0.1,0.36,0.8400000000000001,0.24,0.78,1.52,0.1,0.04,0.64,1.1,0.02,1.04,1.64
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1.86,0.9199999999999999,0.6199999999999999,0.38,0.72,1.3199999999999998,0.5,1.08,2.32,0.8800000000000001,0.33999999999999997,0.9199999999999999,2.2800000000000002,0.6,1.52,2.96,0.4,0.36,0.18,0.76,1.7600000000000002,0.2,1.8,2.8,0.2,0.1,1.48,3.06,0.0,3.04,4.0200000000000005
MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,2.94,0.96,0.78,0.41999999999999993,1.0,2.2199999999999998,0.66,1.48,3.8600000000000003,0.82,0.62,2.4,4.000000000000001,0.6799999999999999,4.08,7.26,0.3,0.22000000000000003,0.12,1.8800000000000001,3.4,0.1,4.14,5.58,0.24000000000000005,0.04,3.8,6.2,0.02,6.14,8.28
MinAtar/Asterix-v0+MinAtar/Freeway-v0,0.36,0.33999999999999997,0.86,1.3,0.4600000000000001,0.9800000000000001,0.13999999999999999,0.12000000000000002,0.16,1.8,1.26,0.72,1.22,0.26,0.08,0.24,0.08,1.26,1.32,0.26,0.66,0.04,0.0,0.02,1.52,0.44000000000000006,0.04,0.44000000000000006,0.06,0.02,0.0
