train_team,train_seed,eval_team,eval_seed,r_0,r_0_std,r_1,r_1_std
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0,1234,0.6,1.2806249,2.9,3.448188
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0,1234,0.7,0.64031243,0.9,1.1357816
MinAtar/Asterix-v0,0,MinAtar/Freeway-v0,1234,0.0,0.0,0.3,0.45825756
MinAtar/Asterix-v0,0,MinAtar/Seaquest-v0,1234,0.0,0.0,0.0,0.0
MinAtar/Asterix-v0,0,MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.0,0.0
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,1234,0.6,1.2,1.1,1.5779735
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,1234,0.4,1.1999999,0.6,1.4966631
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,1234,0.4,1.1999999,0.5,1.5
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,1234,0.4,1.1999999,0.5,1.5
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,1234,0.5,0.67082036,0.6,0.9165151
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,1234,0.5,0.67082036,0.4,0.9165151
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,1234,0.5,0.67082036,0.4,0.9165151
MinAtar/Asterix-v0,0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,1234,0.0,0.0,0.2,0.4
MinAtar/Asterix-v0,0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.2,0.4
MinAtar/Asterix-v0,0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.0,0.0
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,1234,0.4,1.1999999,0.8,0.8717798
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,1234,0.4,1.1999999,0.4,0.91651505
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,1234,0.4,1.1999999,0.0,0.0
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,1234,0.4,1.1999999,0.0,0.0
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,1234,0.5,1.2041595,0.2,0.59999996
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.4,1.1999999,0.0,0.0
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,1234,0.4,0.66332495,0.5,0.67082036
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,1234,0.4,0.66332495,0.2,0.4
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.4,0.66332495,0.1,0.29999998
MinAtar/Asterix-v0,0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.0,0.0
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0,1234,0.2,0.4,0.2,0.4
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.1,0.29999998
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.3,0.45825756,0.1,0.29999998
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.2,0.4
MinAtar/Asterix-v0,0,MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.2,0.4,0.1,0.29999998
MinAtar/Asterix-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0+MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.1,0.29999998
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0,1234,0.6,0.66332495,0.4,0.66332495
MinAtar/Breakout-v0,0,MinAtar/Breakout-v0,1234,0.0,0.0,0.5,0.5
MinAtar/Breakout-v0,0,MinAtar/Freeway-v0,1234,0.2,0.4,0.0,0.0
MinAtar/Breakout-v0,0,MinAtar/Seaquest-v0,1234,0.0,0.0,0.0,0.0
MinAtar/Breakout-v0,0,MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.0,0.0
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0,1234,0.3,0.45825756,0.4,0.48989797
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0+MinAtar/Freeway-v0,1234,0.5,0.67082036,0.1,0.29999998
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0+MinAtar/Seaquest-v0,1234,0.3,0.45825756,0.1,0.29999998
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0+MinAtar/SpaceInvaders-v0,1234,0.3,0.45825756,0.1,0.29999998
MinAtar/Breakout-v0,0,MinAtar/Breakout-v0+MinAtar/Freeway-v0,1234,0.3,0.64031243,0.3,0.45825756
MinAtar/Breakout-v0,0,MinAtar/Breakout-v0+MinAtar/Seaquest-v0,1234,0.0,0.0,0.3,0.45825756
MinAtar/Breakout-v0,0,MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.3,0.45825756
MinAtar/Breakout-v0,0,MinAtar/Freeway-v0+MinAtar/Seaquest-v0,1234,0.1,0.29999998,0.0,0.0
MinAtar/Breakout-v0,0,MinAtar/Freeway-v0+MinAtar/SpaceInvaders-v0,1234,0.1,0.29999998,0.0,0.0
MinAtar/Breakout-v0,0,MinAtar/Seaquest-v0+MinAtar/SpaceInvaders-v0,1234,0.0,0.0,0.0,0.0
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Freeway-v0,1234,0.2,0.4,0.4,0.489898
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/Seaquest-v0,1234,0.2,0.4,0.3,0.45825756
MinAtar/Breakout-v0,0,MinAtar/Asterix-v0+MinAtar/Breakout-v0+MinAtar/SpaceInvaders-v0,1234,0.2,0.4,0.3,0.45825756
