train_team,SIPD/AlwaysCooperate-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,SIPD/WinStayLoseSwitch-Default-v0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0
SIPD/AlwaysCooperate-Default-v0,1.0,-0.1,-0.10000000000000002,0.12,0.5399999999999999,0.6399999999999999,0.5599999999999999,0.13999999999999999,0.5599999999999999,0.54,0.9800000000000001,0.76,1.0,0.9,1.0,0.76,-0.58,0.06000000000000001,0.5,0.62,0.86,0.76,0.52,0.62,0.3,0.9800000000000001,0.54,1.0,0.76,1.0,0.54
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,0.9800000000000001,-0.4,-0.8,-0.38,-0.18,0.1,-0.12000000000000002,-0.36,-0.42000000000000004,-0.4,0.42000000000000004,-0.18,0.26,-0.2,0.26,-0.42000000000000004,-1.0,-1.0,-0.18,-0.38,0.06000000000000001,-0.4,-0.33999999999999997,-0.62,-1.0,0.16,-0.6599999999999999,0.0,-0.5,-0.18,-0.8400000000000001
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,0.96,-0.4,-0.8,-0.4,-0.3,-0.3,-0.5,-0.8,-0.76,-0.4,0.3,-0.3,-0.3,-0.5599999999999999,-0.36,-0.76,-1.0,-1.0,-0.3,-0.5,-0.5,-0.76,-0.96,-0.96,-1.0,0.04,-0.6599999999999999,-0.6199999999999999,-0.8200000000000001,-0.96,-1.0
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,0.1,-0.6599999999999999,-0.86,-0.45999999999999996,-0.36,-0.18,-0.32,-0.52,-0.4,-0.6599999999999999,0.04,-0.36,-0.02,-0.2,-0.02,-0.36,-1.0,-1.0,-0.3,-0.5,-0.16,-0.33999999999999997,-0.36,-0.5,-1.0,0.0,-0.7,-0.06,-0.4,-0.08,-0.72
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,0.54,-0.52,-0.8200000000000001,-0.42000000000000004,-0.3,-0.13999999999999999,-0.3,-0.54,-0.48,-0.52,0.2,-0.3,-0.019999999999999997,-0.27999999999999997,-0.019999999999999997,-0.44000000000000006,-1.0,-1.0,-0.27999999999999997,-0.48,-0.2,-0.4600000000000001,-0.5,-0.62,-1.0,0.02,-0.7,-0.2,-0.52,-0.32,-0.82
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.4,-0.3,-0.42000000000000004,-0.13999999999999999,0.0,0.16,0.12000000000000002,-0.1,0.04,-0.15999999999999998,0.36,0.07999999999999999,0.4,0.24,0.4,0.07999999999999999,-0.6,-0.45999999999999996,0.06,-0.019999999999999997,0.3,0.14,0.1,-0.019999999999999997,-0.4,0.36,-0.15999999999999998,0.4,0.07999999999999999,0.4,-0.15999999999999998
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.27999999999999997,-0.45999999999999996,-0.5800000000000001,-0.26,-0.12,0.04,-0.07999999999999997,-0.3,-0.16,-0.31999999999999995,0.24,-0.08,0.2,0.03999999999999998,0.2,-0.08,-0.8,-0.6599999999999999,-0.09999999999999999,-0.22000000000000003,0.06000000000000001,-0.09999999999999999,-0.14000000000000004,-0.22000000000000003,-0.6,0.2,-0.36,0.16,-0.12000000000000004,0.12,-0.4
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,0.32,-0.27999999999999997,-0.38,-0.14,-0.01999999999999999,0.07999999999999999,5.551115123125783e-18,-0.16,-0.02,-0.12,0.26,0.02,0.24000000000000005,0.14,0.24000000000000005,0.02,-0.58,-0.42000000000000004,-0.039999999999999994,-0.12,0.1,0.0,-0.06,-0.12,-0.48,0.22000000000000003,-0.15999999999999998,0.2,-0.02000000000000001,0.18,-0.18
SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,0.44000000000000006,-0.5599999999999999,-0.8400000000000001,-0.44000000000000006,-0.3,-0.1,-0.18,-0.42000000000000004,-0.36,-0.5599999999999999,0.18,-0.28,0.13999999999999999,-0.14,0.12,-0.36,-1.0,-1.0,-0.26,-0.44000000000000006,-0.02,-0.3,-0.32,-0.52,-1.0,0.08,-0.6599999999999999,0.019999999999999997,-0.4,-0.06,-0.74
SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,0.82,-0.44000000000000006,-0.8,-0.4,-0.3,-0.26,-0.44000000000000006,-0.72,-0.7,-0.44000000000000006,0.26,-0.3,-0.21999999999999997,-0.5,-0.3,-0.7,-1.0,-1.0,-0.3,-0.5,-0.42000000000000004,-0.7,-0.86,-0.9,-1.0,0.04,-0.6599999999999999,-0.5199999999999999,-0.76,-0.82,-0.96
