train_team,train_seed,eval_team,eval_seed,r_0,r_0_std,r_1,r_1_std
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0,1234,1.0,0.0,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0,1234,-1.0,0.0,-0.2,0.4
SIPD/AlwaysCooperate-Default-v0,0,SIPD/TitForTat-Default-v0,1234,0.5,0.5,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/WinStayLoseSwitch-Default-v0,1234,-0.4,0.9165151,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/ExtortionateZD-Default-v0,1234,-1.0,0.0,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0,1234,0.0,1.0,0.2,0.6
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0,1234,0.8,0.4,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,1234,0.2,0.97979593,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,0.0,1.0,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,1234,-0.2,0.8717798,0.6,0.66332495
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,1234,-0.8,0.59999996,0.6,0.66332495
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-1.0,0.0,0.5,0.67082036
SIPD/AlwaysCooperate-Default-v0,0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,1234,-0.1,0.83066237,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.3,0.78102493,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.6,0.8,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0,1234,0.4,0.8,0.3,0.78102493
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,1234,0.0,1.0,0.3,0.78102493
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.2,0.979796,0.3,0.78102493
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,1234,0.3,0.9,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,0.1,0.9433981,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,0.0,1.0,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,1234,-0.5,0.8062258,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.7,0.64031243,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.8,0.59999996,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.2,0.8717798,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0,1234,-0.2,0.97979593,0.7,0.64031243
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.4,0.9165151,0.7,0.64031243
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.6,0.8,0.7,0.64031243
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.1,0.9433981,1.0,0.0
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.5,0.8062258,0.9,0.29999998
SIPD/AlwaysCooperate-Default-v0,0,SIPD/AlwaysCooperate-Default-v0+SIPD/AlwaysDefect-Default-v0+SIPD/TitForTat-Default-v0+SIPD/WinStayLoseSwitch-Default-v0+SIPD/ExtortionateZD-Default-v0,1234,-0.3,0.9,0.7,0.64031243
SIPD/AlwaysDefect-Default-v0,0,SIPD/AlwaysCooperate-Default-v0,1234,1.0,0.0,1.0,0.0
SIPD/AlwaysDefect-Default-v0,0,SIPD/AlwaysDefect-Default-v0,1234,-1.0,0.0,-1.0,0.0
SIPD/AlwaysDefect-Default-v0,0,SIPD/TitForTat-Default-v0,1234,0.5,0.5,0.2,0.4
SIPD/AlwaysDefect-Default-v0,0,SIPD/WinStayLoseSwitch-Default-v0,1234,-0.4,0.9165151,-0.6,0.8
